loan_id,borrower_id,origination_date,maturity_date,product_type,region,sector,employment_type,age,gender,marital_status,education_level,monthly_income_npr,credit_score,loan_amount_npr,interest_rate_pct,term_months,collateral_type,pd,lgd,ead,expected_loss_npr,status,days_past_due,defaulted_flag,current_balance_npr,recovered_amount_npr,vintage,npa_flag,realized_loss_npr
L000018,B00981,2023-05-22,2028-05-22,home,Madhesh,agriculture,business_owner,67,M,single,master,91938,608,439265,8.63,60,property,0.4,0.3237,408463.72,52880.14,current,0,0,249060.88,0.0,2023-Q2,0,0.0
L000019,B01668,2023-08-22,2027-08-22,micro,Lumbini,services,business_owner,65,F,married,primary,102138,651,31472,17.01,48,guarantee,0.4,0.4102,33360.07,5474.05,30_dpd,50,0,22132.76,0.0,2023-Q3,0,0.0
L000020,B00505,2021-10-25,2026-10-25,home,Koshi,manufacturing,self-employed,53,M,married,master,124993,648,672926,10.04,60,property,0.4,0.3294,717634.48,94559.78,current,0,0,489687.23,0.0,2021-Q4,0,0.0
L000021,B00303,2024-11-06,2029-11-06,personal,Koshi,retail,salaried,60,F,married,bachelor,37294,759,119787,14.49,60,none,0.0625,0.85,117647.8,6252.22,90_dpd,91,0,13149.05,0.0,2024-Q4,1,0.0
L000022,B01196,2024-09-24,2028-09-24,home,Lumbini,manufacturing,business_owner,26,F,single,master,26811,727,1014315,12.22,48,property,0.0898,0.3314,1019370.95,30323.82,60_dpd,60,0,971896.76,0.0,2024-Q3,0,0.0
L000023,B00774,2024-04-19,2030-04-19,SME,Madhesh,manufacturing,self-employed,38,M,married,primary,125295,706,762574,15.47,72,cash_deposit,0.158,0.2805,741251.0,32843.87,60_dpd,65,0,580748.14,0.0,2024-Q2,0,0.0
L000024,B00026,2023-10-18,2024-10-18,SME,Madhesh,health,self-employed,32,M,married,bachelor,94231,719,1327079,14.47,12,property,0.1722,0.2561,1254929.38,55365.04,60_dpd,74,0,341809.25,0.0,2023-Q4,0,0.0
L000025,B00018,2022-06-19,2024-06-19,SME,Karnali,manufacturing,salaried,22,F,married,master,31893,640,175977,13.42,24,property,0.4,0.1611,184564.08,11892.29,current,0,0,50032.49,0.0,2022-Q2,0,0.0
L000026,B00289,2024-09-30,2027-09-30,home,Koshi,health,informal,55,M,married,bachelor,46748,633,916954,11.91,36,guarantee,0.4,0.3301,918009.14,121231.59,current,0,0,417364.35,0.0,2024-Q3,0,0.0
L000027,B00442,2023-03-19,2024-03-19,home,Lumbini,services,agriculture,25,F,married,bachelor,38499,689,1124412,13.54,12,property,0.2371,0.2148,1153664.79,58737.57,60_dpd,66,0,421111.61,0.0,2023-Q1,0,0.0
L000028,B01583,2026-03-01,2029-03-01,micro,Gandaki,education,business_owner,23,M,married,bachelor,148595,706,55388,17.52,36,none,0.188,0.6638,54742.45,6830.91,current,0,0,8725.01,0.0,2026-Q1,0,0.0
L000029,B00061,2025-02-12,2027-02-12,home,Madhesh,services,business_owner,37,F,single,bachelor,143439,662,884844,11.46,24,guarantee,0.4,0.3805,839716.22,127807.64,closed,0,0,0.0,0.0,2025-Q1,0,0.0
L000030,B00091,2026-05-28,2030-05-28,personal,Koshi,manufacturing,informal,46,M,married,secondary,15000,700,66884,16.31,48,guarantee,0.2133,0.3683,69873.62,5490.41,60_dpd,71,0,52847.31,0.0,2026-Q2,0,0.0
L000031,B01272,2024-04-06,2026-04-06,personal,Lumbini,health,self-employed,49,M,divorced,bachelor,71559,602,77004,17.35,24,none,0.4,0.7712,81744.01,25216.95,60_dpd,62,0,35150.46,0.0,2024-Q2,0,0.0
L000032,B00342,2023-09-30,2028-09-30,SME,Sudurpashchim,health,salaried,47,M,married,bachelor,65884,655,474418,11.58,60,guarantee,0.4,0.4142,447138.31,74073.51,current,0,0,392009.33,0.0,2023-Q3,0,0.0
L000033,B01323,2023-04-29,2024-04-29,personal,Gandaki,manufacturing,business_owner,23,F,single,primary,126843,772,140368,20.74,12,none,0.0497,0.8281,147068.65,6055.4,defaulted,165,1,136316.18,729.3,2023-Q2,1,5326.099999999999
L000034,B00263,2022-06-17,2024-06-17,personal,Lumbini,construction,salaried,38,M,single,bachelor,53827,687,387913,16.32,24,guarantee,0.2779,0.4514,393374.19,49335.48,90_dpd,93,0,322655.51,0.0,2022-Q2,1,0.0
L000035,B01476,2026-01-14,2031-01-14,micro,Koshi,services,salaried,55,M,married,primary,44114,668,132109,19.08,60,guarantee,0.3942,0.2851,126982.44,14272.24,current,0,0,44786.44,0.0,2026-Q1,0,0.0
L000036,B01589,2022-05-02,2023-05-02,personal,Bagmati,education,self-employed,64,F,married,secondary,40844,651,53182,17.58,12,none,0.4,0.7571,49722.11,15058.46,current,0,0,32904.92,0.0,2022-Q2,0,0.0
L000037,B01192,2024-05-30,2025-11-30,personal,Sudurpashchim,agriculture,business_owner,31,M,married,master,102142,602,63474,21.17,18,none,0.4,0.7306,67841.2,19824.85,30_dpd,54,0,64799.92,0.0,2024-Q2,0,0.0
L000038,B00781,2023-01-17,2024-01-17,SME,Sudurpashchim,wholesale,salaried,45,O,single,master,58032,666,1329797,16.8,12,guarantee,0.4,0.3352,1235436.93,165624.87,30_dpd,46,0,766170.39,0.0,2023-Q1,0,0.0
L000039,B00442,2024-07-06,2029-07-06,home,Lumbini,services,agriculture,25,F,married,bachelor,38499,718,1060633,12.93,60,property,0.1153,0.2769,1028884.99,32855.03,current,0,0,751258.95,0.0,2024-Q3,0,0.0
L000040,B01795,2021-11-10,2025-11-10,micro,Lumbini,wholesale,self-employed,69,F,married,secondary,107024,732,26687,16.53,48,none,0.1076,0.6696,25203.52,1816.53,60_dpd,68,0,15473.08,0.0,2021-Q4,0,0.0
L000041,B00935,2024-08-18,2029-08-18,home,Karnali,construction,self-employed,35,M,married,bachelor,98602,806,1615465,12.56,60,property,0.005,0.1659,1646407.5,1365.69,30_dpd,38,0,177504.28,0.0,2024-Q3,0,0.0
L000042,B01629,2023-07-21,2025-01-21,personal,Koshi,services,informal,25,F,divorced,secondary,47769,692,127688,13.6,18,guarantee,0.2515,0.3085,120612.67,9357.69,30_dpd,34,0,90333.9,0.0,2023-Q3,0,0.0
L000043,B01389,2022-08-01,2025-08-01,personal,Bagmati,retail,salaried,40,M,married,secondary,78808,690,33013,18.66,36,guarantee,0.2618,0.4632,32061.71,3887.72,90_dpd,112,0,7789.93,0.0,2022-Q3,1,0.0
L000044,B00145,2024-12-31,2027-12-31,auto,Bagmati,wholesale,salaried,47,M,single,bachelor,77632,615,348263,12.19,36,vehicle,0.4,0.4994,360075.23,71929.78,defaulted,152,1,69844.91,10310.7,2024-Q4,1,61619.08
L000045,B00480,2025-08-14,2026-08-14,personal,Gandaki,wholesale,self-employed,42,M,married,primary,103664,661,146165,17.25,12,guarantee,0.4,0.3706,156984.77,23269.45,30_dpd,38,0,40806.84,0.0,2025-Q3,0,0.0
L000046,B00567,2024-07-23,2026-07-23,micro,Bagmati,manufacturing,informal,65,F,single,master,57848,630,25000,16.92,24,cash_deposit,0.4,0.3029,24386.0,2955.02,defaulted,171,1,4828.86,579.15,2024-Q3,1,2375.87
L000047,B00596,2024-07-07,2028-07-07,home,Gandaki,retail,salaried,55,M,married,secondary,73940,732,1054266,12.04,48,property,0.0776,0.2727,1101257.5,23311.94,current,0,0,948350.88,0.0,2024-Q3,0,0.0
L000048,B00681,2026-06-05,2032-06-05,personal,Madhesh,wholesale,salaried,46,F,single,bachelor,74899,691,85033,16.27,72,guarantee,0.2566,0.5432,87485.16,12192.94,30_dpd,34,0,48576.73,0.0,2026-Q2,0,0.0
L000049,B00992,2023-10-25,2027-10-25,home,Lumbini,education,informal,62,F,married,bachelor,22891,479,842619,12.12,48,guarantee,0.4,0.5737,819889.15,188162.35,30_dpd,53,0,591786.52,0.0,2023-Q4,0,0.0
L000050,B00414,2023-04-26,2025-04-26,auto,Lumbini,agriculture,self-employed,40,M,married,secondary,108599,672,506820,8.25,24,vehicle,0.3378,0.4403,487408.92,72505.87,current,0,0,294179.44,0.0,2023-Q2,0,0.0
L000051,B00686,2022-04-18,2025-04-18,SME,Koshi,retail,self-employed,33,F,divorced,master,35994,697,457372,12.84,36,cash_deposit,0.197,0.2249,460575.6,20408.61,defaulted,170,1,193312.13,5316.11,2022-Q2,1,15092.5
L000052,B01484,2024-08-12,2027-08-12,home,Bagmati,manufacturing,salaried,67,F,single,bachelor,62677,703,497688,12.85,36,guarantee,0.1703,0.519,505667.11,44692.07,current,0,0,339028.4,0.0,2024-Q3,0,0.0
L000053,B00348,2022-10-15,2028-10-15,personal,Karnali,construction,salaried,67,F,single,master,96486,652,43069,16.21,72,none,0.4,0.704,46490.77,13091.4,closed,0,0,0.0,0.0,2022-Q4,0,0.0
L000054,B00866,2021-10-08,2026-10-08,SME,Gandaki,agriculture,salaried,30,M,married,primary,89928,650,1090618,14.18,60,property,0.4,0.29,1137179.6,131892.88,current,0,0,594734.79,0.0,2021-Q4,0,0.0
L000055,B01180,2021-08-01,2022-08-01,personal,Gandaki,agriculture,self-employed,32,F,married,bachelor,136016,683,100684,16.95,12,none,0.3003,0.85,100125.63,25559.57,defaulted,137,1,84639.7,7798.79,2021-Q3,1,17760.78
L000056,B01471,2024-06-04,2025-06-04,micro,Bagmati,construction,self-employed,31,M,married,bachelor,115771,707,30646,15.49,12,none,0.184,0.85,28670.12,4484.64,30_dpd,41,0,3227.75,0.0,2024-Q2,0,0.0
L000057,B00877,2023-02-05,2028-02-05,personal,Sudurpashchim,construction,self-employed,63,M,married,bachelor,112210,619,66663,15.6,60,none,0.4,0.5796,68381.13,15853.31,60_dpd,63,0,48756.84,0.0,2023-Q1,0,0.0
L000058,B00600,2022-11-25,2024-11-25,SME,Gandaki,services,business_owner,69,F,widowed,master,64606,737,235974,10.83,24,vehicle,0.0669,0.4286,234652.62,6724.1,current,0,0,187105.95,0.0,2022-Q4,0,0.0
L000059,B01375,2023-05-27,2025-05-27,SME,Gandaki,agriculture,informal,56,M,married,bachelor,55031,663,651090,13.82,24,vehicle,0.4,0.4068,689832.63,112262.8,90_dpd,103,0,310201.11,0.0,2023-Q2,1,0.0
L000060,B00107,2024-08-06,2026-02-06,home,Koshi,services,business_owner,31,F,married,secondary,196930,739,1336228,11.97,18,property,0.0629,0.3245,1320584.17,26959.94,current,0,0,617699.71,0.0,2024-Q3,0,0.0
L000061,B01258,2022-02-12,2026-02-12,personal,Gandaki,services,self-employed,38,F,married,secondary,50951,600,54168,15.84,48,cash_deposit,0.4,0.2612,56684.59,5923.52,closed,0,0,0.0,0.0,2022-Q1,0,0.0
L000062,B00061,2023-01-12,2027-01-12,personal,Madhesh,services,business_owner,37,F,single,bachelor,143439,658,89875,14.99,48,cash_deposit,0.4,0.2889,96427.16,11142.23,current,0,0,25845.54,0.0,2023-Q1,0,0.0
L000063,B01553,2024-02-15,2025-02-15,home,Gandaki,services,salaried,43,M,married,master,89783,673,1682023,13.36,12,property,0.3314,0.2201,1605442.24,117095.68,defaulted,164,1,1103879.26,38431.29,2024-Q1,1,78664.38999999998
L000064,B00732,2023-01-31,2024-07-31,auto,Lumbini,services,informal,36,M,divorced,secondary,35959,682,423122,13.2,18,guarantee,0.3361,0.3108,415702.14,43427.46,current,0,0,232617.63,0.0,2023-Q1,0,0.0
L000065,B00882,2025-04-26,2029-04-26,personal,Lumbini,construction,informal,43,F,single,secondary,38656,629,47545,15.58,48,guarantee,0.4,0.4149,49211.4,8166.28,current,0,0,7086.41,0.0,2025-Q2,0,0.0
L000066,B01432,2023-04-15,2029-04-15,micro,Bagmati,agriculture,salaried,62,M,married,master,63455,647,33236,16.95,72,none,0.4,0.7807,35472.56,11077.45,current,0,0,10779.25,0.0,2023-Q2,0,0.0
L000067,B01020,2024-04-28,2029-04-28,home,Bagmati,services,informal,51,F,single,master,33395,717,586378,14.13,60,property,0.1185,0.3427,601826.43,24438.04,30_dpd,42,0,286586.64,0.0,2024-Q2,0,0.0
L000068,B00203,2022-11-01,2025-11-01,SME,Madhesh,wholesale,business_owner,52,M,married,secondary,155897,658,1136619,16.33,36,cash_deposit,0.4,0.2467,1089171.14,107478.59,30_dpd,36,0,223137.05,0.0,2022-Q4,0,0.0
L000069,B00456,2025-02-18,2029-02-18,micro,Karnali,retail,salaried,50,M,married,bachelor,94729,697,51506,19.23,48,none,0.227,0.726,55523.91,9151.68,30_dpd,59,0,36804.21,0.0,2025-Q1,0,0.0
L000070,B00467,2026-04-15,2032-04-15,auto,Koshi,agriculture,agriculture,21,M,married,phd,31602,711,240793,12.29,72,vehicle,0.139,0.554,232778.48,17919.93,closed,0,0,0.0,0.0,2026-Q2,0,0.0
L000071,B01384,2022-09-13,2024-09-13,micro,Karnali,manufacturing,agriculture,62,M,married,bachelor,80532,680,62946,18.25,24,cash_deposit,0.3179,0.3643,60343.15,6988.68,90_dpd,101,0,43313.75,0.0,2022-Q3,1,0.0
L000072,B01381,2023-05-26,2026-05-26,SME,Lumbini,agriculture,informal,25,M,married,secondary,52657,766,998138,13.77,36,property,0.0251,0.3127,1068866.4,8384.82,current,0,0,587939.23,0.0,2023-Q2,0,0.0
L000073,B00190,2024-01-30,2029-01-30,micro,Bagmati,wholesale,salaried,23,F,married,bachelor,87081,693,34075,18.18,60,none,0.2464,0.7412,33737.55,6162.45,closed,0,0,0.0,0.0,2024-Q1,0,0.0
L000074,B01778,2024-04-13,2026-04-13,personal,Karnali,manufacturing,salaried,63,F,married,bachelor,68460,686,113927,19.3,24,guarantee,0.2834,0.3776,114767.8,12280.98,current,0,0,34501.5,0.0,2024-Q2,0,0.0
L000075,B00992,2021-12-22,2024-12-22,SME,Lumbini,education,informal,62,F,married,bachelor,22891,521,639893,14.54,36,vehicle,0.4,0.3734,648608.07,96865.12,60_dpd,89,0,635212.16,0.0,2021-Q4,0,0.0
L000076,B00931,2021-09-02,2025-09-02,micro,Gandaki,services,self-employed,21,F,married,master,35412,642,40565,17.56,48,none,0.4,0.7689,40360.1,12413.16,defaulted,111,1,14355.32,1663.95,2021-Q3,1,10749.21
L000077,B01016,2025-02-13,2026-08-13,micro,Madhesh,health,salaried,60,F,married,secondary,65809,719,43000,20.07,18,none,0.1422,0.7171,45892.08,4680.82,current,0,0,34417.48,0.0,2025-Q1,0,0.0
L000078,B00500,2026-05-22,2027-11-22,personal,Gandaki,services,salaried,46,F,married,master,64736,599,138323,15.06,18,none,0.4,0.5976,137135.28,32782.29,90_dpd,98,0,131751.84,0.0,2026-Q2,1,0.0
L000079,B00783,2023-12-11,2026-12-11,personal,Karnali,manufacturing,informal,47,F,single,primary,43936,753,47990,14.29,36,cash_deposit,0.0701,0.2922,47925.8,981.31,30_dpd,36,0,47873.15,0.0,2023-Q4,0,0.0
L000080,B00066,2024-09-27,2026-09-27,personal,Koshi,construction,self-employed,22,M,married,secondary,111612,733,104838,18.28,24,cash_deposit,0.1654,0.3534,101702.39,5943.51,current,0,0,84365.57,0.0,2024-Q3,0,0.0
L000081,B01057,2024-12-25,2026-06-25,personal,Gandaki,services,self-employed,33,F,married,phd,117736,728,141988,15.06,18,guarantee,0.1172,0.5922,146823.31,10190.96,30_dpd,37,0,73140.06,0.0,2024-Q4,0,0.0
L000082,B01714,2022-11-05,2027-11-05,SME,Madhesh,construction,salaried,32,M,single,secondary,73522,630,596807,15.9,60,property,0.4,0.3683,622891.38,91764.32,current,0,0,176586.92,0.0,2022-Q4,0,0.0
L000083,B01662,2026-04-18,2027-04-18,personal,Karnali,retail,self-employed,45,F,divorced,bachelor,53867,714,25000,16.04,12,guarantee,0.1584,0.3631,24502.8,1409.19,current,0,0,9235.67,0.0,2026-Q2,0,0.0
L000084,B00026,2022-05-21,2023-05-21,personal,Madhesh,health,self-employed,32,M,married,bachelor,94231,685,63599,19.62,12,none,0.3489,0.5965,65674.29,13669.03,current,0,0,39449.02,0.0,2022-Q2,0,0.0
L000085,B01706,2022-03-28,2025-03-28,personal,Madhesh,retail,salaried,61,M,married,secondary,58639,725,206322,14.4,36,cash_deposit,0.125,0.291,202880.68,7378.92,current,0,0,109556.39,0.0,2022-Q1,0,0.0
L000086,B00206,2023-11-19,2025-11-19,home,Lumbini,services,salaried,69,F,married,primary,91859,647,738257,7.59,24,guarantee,0.4,0.6065,774466.84,187894.07,current,0,0,215028.47,0.0,2023-Q4,0,0.0
L000087,B01283,2022-09-10,2025-09-10,home,Bagmati,retail,self-employed,61,M,widowed,bachelor,129501,611,688191,11.2,36,guarantee,0.4,0.4002,714811.27,114425.23,defaulted,113,1,670600.08,17223.78,2022-Q3,1,97201.45
L000088,B00236,2022-11-03,2026-11-03,personal,Sudurpashchim,agriculture,salaried,44,F,married,secondary,64068,582,60494,14.73,48,none,0.4,0.6668,62028.19,16545.1,current,0,0,27827.25,0.0,2022-Q4,0,0.0
L000089,B00751,2024-03-27,2029-03-27,home,Gandaki,education,salaried,29,F,married,bachelor,56680,529,743797,11.62,60,property,0.4,0.1257,797828.85,40101.58,current,0,0,618245.74,0.0,2024-Q1,0,0.0
L000090,B01276,2023-10-26,2024-10-26,auto,Sudurpashchim,construction,salaried,48,M,widowed,master,74289,687,377619,13.76,12,cash_deposit,0.2479,0.2393,350709.95,20803.77,30_dpd,44,0,293272.28,0.0,2023-Q4,0,0.0
L000091,B01202,2026-01-10,2028-01-10,personal,Karnali,services,salaried,63,M,widowed,master,60920,724,51130,16.15,24,none,0.1277,0.6858,54357.15,4761.35,current,0,0,36537.0,0.0,2026-Q1,0,0.0
L000092,B01755,2025-01-28,2030-01-28,micro,Koshi,services,agriculture,36,F,married,secondary,52969,780,72032,16.55,60,none,0.0438,0.8269,70139.22,2540.01,defaulted,166,1,58848.76,719.09,2025-Q1,1,1820.92
L000093,B00608,2021-04-06,2023-04-06,SME,Bagmati,agriculture,self-employed,56,F,married,bachelor,43996,595,225466,12.36,24,cash_deposit,0.4,0.3116,226155.28,28186.53,current,0,0,81367.69,0.0,2021-Q2,0,0.0
L000094,B01077,2023-04-17,2028-04-17,auto,Sudurpashchim,wholesale,salaried,29,M,divorced,secondary,77137,629,148159,13.66,60,vehicle,0.4,0.5776,151733.71,35054.58,90_dpd,109,0,105642.87,0.0,2023-Q2,1,0.0
L000095,B00353,2025-06-17,2028-06-17,auto,Lumbini,construction,self-employed,24,M,married,bachelor,55430,619,397550,13.37,36,cash_deposit,0.4,0.3432,429170.4,58912.55,60_dpd,83,0,353589.09,0.0,2025-Q2,0,0.0
L000096,B00626,2023-05-20,2028-05-20,SME,Koshi,agriculture,informal,56,M,married,master,55454,704,1236970,13.84,60,guarantee,0.1661,0.4766,1307205.69,103502.66,current,0,0,265620.12,0.0,2023-Q2,0,0.0
L000097,B01171,2025-12-19,2030-12-19,SME,Lumbini,education,self-employed,65,F,divorced,phd,114649,639,1106368,15.94,60,property,0.4,0.3746,1049434.07,157250.83,closed,0,0,0.0,0.0,2025-Q4,0,0.0
L000098,B00696,2025-08-29,2028-08-29,auto,Sudurpashchim,agriculture,salaried,33,F,married,secondary,58456,716,186686,16.17,36,vehicle,0.1217,0.4598,184669.3,10336.27,30_dpd,37,0,179067.34,0.0,2025-Q3,0,0.0
L000099,B01738,2021-04-17,2022-10-17,home,Sudurpashchim,retail,salaried,37,M,married,master,95828,579,648249,15.2,18,property,0.4,0.1793,698044.14,50071.44,current,0,0,469644.46,0.0,2021-Q2,0,0.0
L000100,B00542,2021-05-14,2022-05-14,home,Koshi,health,informal,60,O,divorced,secondary,21170,715,1824273,9.96,12,guarantee,0.125,0.4093,1824683.55,93375.47,current,0,0,823009.57,0.0,2021-Q2,0,0.0
L000101,B00963,2022-01-14,2027-01-14,auto,Madhesh,education,agriculture,30,M,married,bachelor,29362,800,238001,15.0,60,vehicle,0.005,0.413,228893.58,472.63,current,0,0,51983.24,0.0,2022-Q1,0,0.0
L000102,B00993,2022-06-18,2023-12-18,auto,Sudurpashchim,manufacturing,informal,61,F,married,secondary,44563,629,425054,9.81,18,vehicle,0.4,0.2994,431843.07,51722.47,30_dpd,38,0,346102.25,0.0,2022-Q2,0,0.0
L000103,B00042,2023-06-13,2024-12-13,micro,Sudurpashchim,retail,business_owner,29,M,married,master,56056,641,36179,18.44,18,none,0.4,0.7085,38670.68,10959.28,current,0,0,13905.89,0.0,2023-Q2,0,0.0
L000104,B01604,2024-09-19,2029-09-19,personal,Sudurpashchim,agriculture,business_owner,22,M,single,master,150237,540,119960,15.23,60,guarantee,0.4,0.3088,113724.78,14045.95,closed,0,0,0.0,0.0,2024-Q3,0,0.0
L000105,B00310,2023-08-10,2025-08-10,personal,Madhesh,manufacturing,self-employed,49,M,divorced,secondary,90601,706,114746,13.24,24,guarantee,0.248,0.3949,109395.96,10712.97,current,0,0,95265.74,0.0,2023-Q3,0,0.0
L000106,B01575,2025-10-27,2030-10-27,personal,Madhesh,retail,salaried,37,F,married,bachelor,54576,588,50940,16.81,60,none,0.4,0.7357,49319.42,14514.45,current,0,0,33791.45,0.0,2025-Q4,0,0.0
L000107,B00251,2022-03-12,2028-03-12,home,Sudurpashchim,services,salaried,56,O,single,master,82522,734,1417723,11.53,72,property,0.0732,0.236,1493378.02,25788.04,current,0,0,293858.47,0.0,2022-Q1,0,0.0
L000108,B00144,2025-05-06,2030-05-06,auto,Sudurpashchim,manufacturing,self-employed,59,F,single,secondary,97981,654,188925,13.55,60,vehicle,0.4,0.4119,192371.46,31698.06,current,0,0,72348.84,0.0,2025-Q2,0,0.0
L000109,B01356,2023-04-12,2025-04-12,home,Lumbini,education,salaried,66,O,married,secondary,75361,648,429255,8.92,24,property,0.4,0.3073,461509.29,56723.29,current,0,0,281279.65,0.0,2023-Q2,0,0.0
L000110,B00125,2025-03-05,2026-09-05,SME,Karnali,construction,agriculture,43,F,single,primary,44490,728,761870,14.56,18,property,0.0872,0.217,820012.65,15521.0,60_dpd,79,0,249925.67,0.0,2025-Q1,0,0.0
L000111,B01488,2024-04-20,2029-04-20,micro,Madhesh,retail,salaried,63,F,married,master,76621,682,58156,21.13,60,none,0.3061,0.7561,62533.77,14474.0,30_dpd,52,0,52015.27,0.0,2024-Q2,0,0.0
L000112,B00904,2024-03-02,2025-03-02,auto,Madhesh,wholesale,salaried,62,M,married,secondary,74913,728,550901,10.06,12,guarantee,0.0872,0.4464,559983.78,21802.36,90_dpd,114,0,299437.14,0.0,2024-Q1,1,0.0
L000113,B01338,2022-03-27,2026-03-27,SME,Karnali,retail,self-employed,21,F,divorced,secondary,76151,666,820989,11.82,48,property,0.3777,0.3733,878909.51,123923.86,60_dpd,81,0,356856.35,0.0,2022-Q1,0,0.0
L000114,B01446,2026-05-29,2028-05-29,micro,Karnali,services,informal,47,M,single,secondary,45578,645,55454,19.25,24,none,0.4,0.7483,59674.29,17861.9,closed,0,0,0.0,0.0,2026-Q2,0,0.0
L000115,B00136,2025-08-09,2027-02-09,auto,Sudurpashchim,health,informal,57,F,married,bachelor,48369,657,436079,11.45,18,guarantee,0.4,0.5228,410287.49,85807.31,current,0,0,112568.39,0.0,2025-Q3,0,0.0
L000116,B00668,2023-09-30,2028-09-30,home,Karnali,retail,informal,37,M,divorced,secondary,48863,660,1611427,10.14,60,property,0.4,0.3866,1510229.21,233563.47,current,0,0,697797.12,0.0,2023-Q3,0,0.0
L000117,B00639,2025-10-08,2027-04-08,SME,Lumbini,retail,salaried,63,M,married,bachelor,65028,806,1800000,16.98,18,guarantee,0.005,0.2485,1941495.57,2412.57,30_dpd,44,0,776372.64,0.0,2025-Q4,0,0.0
