borrower_id,age,gender,marital_status,education_level,employment_type,region,sector,monthly_income_npr,credit_score,existing_delinquency_flag,dependents,home_owner
B00106,44,M,divorced,master,self-employed,Sudurpashchim,wholesale,105075,628,0,1,0
B00107,31,F,married,secondary,business_owner,Koshi,services,196930,746,0,2,1
B00108,37,F,divorced,bachelor,salaried,Madhesh,services,48653,682,0,4,1
B00109,28,F,single,master,agriculture,Sudurpashchim,health,47216,648,0,0,1
B00110,55,M,married,secondary,salaried,Sudurpashchim,retail,68797,657,1,1,1
B00111,55,M,married,primary,business_owner,Karnali,services,147277,730,0,0,0
B00112,53,M,married,master,salaried,Koshi,construction,55228,688,1,0,1
B00113,25,M,married,secondary,salaried,Lumbini,health,37847,710,0,3,0
B00114,62,M,single,bachelor,salaried,Lumbini,retail,77563,734,0,0,1
B00115,59,M,married,primary,self-employed,Bagmati,wholesale,74005,646,0,3,1
B00116,61,M,single,bachelor,salaried,Madhesh,wholesale,60586,682,0,0,1
B00117,48,M,married,secondary,agriculture,Bagmati,retail,37529,663,0,3,1
B00118,27,M,divorced,primary,salaried,Gandaki,manufacturing,72477,731,1,2,1
B00119,29,F,married,bachelor,business_owner,Lumbini,agriculture,71541,654,0,3,1
B00120,28,F,married,secondary,agriculture,Madhesh,manufacturing,46504,678,0,0,0
B00121,32,F,single,secondary,self-employed,Karnali,retail,60138,801,0,2,0
B00122,54,M,married,primary,business_owner,Bagmati,retail,92587,746,1,2,1
B00123,53,M,widowed,secondary,business_owner,Karnali,retail,135921,618,0,2,1
B00124,68,M,single,secondary,salaried,Karnali,wholesale,83028,725,0,3,0
B00125,43,F,single,primary,agriculture,Karnali,construction,44490,713,0,2,0
B00126,44,F,married,master,salaried,Bagmati,retail,89356,614,0,3,0
B00127,57,M,single,primary,self-employed,Gandaki,retail,55818,669,0,1,1
B00128,55,F,married,bachelor,business_owner,Sudurpashchim,services,51604,623,0,2,1
B00129,64,M,divorced,secondary,salaried,Sudurpashchim,services,43273,543,0,3,1
B00130,60,M,married,secondary,salaried,Bagmati,services,48491,667,0,0,1
B00131,42,F,single,master,self-employed,Sudurpashchim,construction,45613,647,0,1,1
B00132,47,F,married,secondary,agriculture,Koshi,retail,86380,614,1,4,0
B00133,55,F,married,phd,informal,Sudurpashchim,agriculture,21746,674,0,1,1
B00134,21,F,single,secondary,self-employed,Lumbini,services,113122,558,0,1,1
B00135,55,M,married,bachelor,business_owner,Bagmati,wholesale,118869,677,0,1,1
B00136,57,F,married,bachelor,informal,Sudurpashchim,health,48369,676,0,3,0
B00137,67,M,married,master,salaried,Bagmati,wholesale,51885,712,0,4,0
B00138,34,F,single,bachelor,salaried,Gandaki,agriculture,76509,587,0,4,0
B00139,23,M,married,bachelor,business_owner,Koshi,wholesale,78873,793,0,2,1
B00140,21,F,single,secondary,agriculture,Bagmati,services,66609,772,0,1,0
B00141,25,M,single,secondary,agriculture,Lumbini,construction,68099,632,0,0,1
B00142,46,F,married,master,self-employed,Sudurpashchim,education,80954,755,0,0,1
B00143,34,M,married,secondary,salaried,Lumbini,construction,68612,722,0,0,0
B00144,59,F,single,secondary,self-employed,Sudurpashchim,manufacturing,97981,651,0,0,1
B00145,47,M,single,bachelor,salaried,Bagmati,wholesale,77632,642,0,3,1
B00146,29,M,single,secondary,salaried,Karnali,agriculture,90482,646,0,3,1
B00147,35,M,single,master,agriculture,Sudurpashchim,agriculture,67925,830,0,2,0
B00148,35,M,single,bachelor,salaried,Karnali,retail,69423,750,0,4,0
B00149,46,F,single,bachelor,agriculture,Koshi,services,41409,664,0,4,1
B00150,62,M,married,master,self-employed,Lumbini,education,109348,669,0,2,0
B00151,33,F,married,primary,self-employed,Karnali,services,80311,722,0,1,1
B00152,52,M,married,secondary,salaried,Lumbini,wholesale,72274,719,0,0,1
B00153,59,M,married,bachelor,salaried,Sudurpashchim,education,80606,622,1,1,1
B00154,69,F,single,secondary,salaried,Sudurpashchim,retail,89511,691,0,0,0
B00155,52,F,divorced,bachelor,informal,Koshi,retail,48912,645,0,1,0
B00156,24,M,married,master,agriculture,Sudurpashchim,agriculture,39430,683,0,4,1
B00157,50,F,married,secondary,self-employed,Koshi,services,138910,672,0,1,1
B00158,57,F,married,secondary,salaried,Karnali,agriculture,100606,731,0,0,1
B00159,43,M,divorced,phd,informal,Sudurpashchim,retail,29729,660,0,2,0
B00160,59,O,married,secondary,salaried,Bagmati,wholesale,51764,682,0,2,1
B00161,65,F,single,bachelor,salaried,Madhesh,retail,54279,572,0,0,0
B00162,35,F,married,secondary,self-employed,Gandaki,health,110456,693,1,0,0
B00163,63,M,married,master,informal,Madhesh,services,72527,632,0,4,0
B00164,49,F,married,bachelor,salaried,Madhesh,services,59874,592,0,1,0
B00165,56,M,married,master,salaried,Lumbini,retail,73385,737,0,3,0
B00166,33,M,single,master,informal,Koshi,retail,33710,673,0,1,0
B00167,52,M,married,secondary,salaried,Lumbini,services,104003,561,0,1,0
B00168,27,M,divorced,secondary,salaried,Karnali,retail,86496,632,0,1,1
B00169,42,F,married,master,self-employed,Gandaki,services,60260,675,0,2,1
B00170,48,F,married,secondary,agriculture,Karnali,services,15000,677,0,3,0
B00171,22,F,single,master,self-employed,Bagmati,construction,116127,648,0,1,1
B00172,62,M,married,master,informal,Gandaki,agriculture,36412,490,0,0,0
B00173,65,M,divorced,bachelor,business_owner,Lumbini,services,157922,645,0,0,0
B00174,26,M,married,bachelor,salaried,Sudurpashchim,wholesale,75873,734,0,3,0
B00175,48,O,married,master,informal,Sudurpashchim,construction,17485,752,0,1,1
B00176,48,M,married,master,self-employed,Lumbini,agriculture,60796,642,0,0,0
B00177,64,F,married,secondary,salaried,Karnali,retail,62917,779,0,1,0
B00178,64,F,single,primary,self-employed,Lumbini,education,64726,586,0,1,1
B00179,40,M,married,secondary,salaried,Lumbini,retail,72323,630,1,3,1
B00180,50,F,married,bachelor,salaried,Madhesh,retail,78027,724,0,2,1
B00181,31,M,married,secondary,salaried,Bagmati,retail,105787,715,1,0,1
B00182,48,F,married,bachelor,self-employed,Sudurpashchim,education,99166,674,0,0,1
B00183,45,F,divorced,secondary,agriculture,Madhesh,services,76839,613,0,1,0
B00184,59,M,single,bachelor,self-employed,Lumbini,construction,70695,613,0,0,0
B00185,53,M,married,secondary,informal,Koshi,wholesale,62478,635,0,2,1
B00186,21,F,married,bachelor,salaried,Madhesh,services,62376,616,0,1,1
B00187,47,F,married,bachelor,salaried,Lumbini,services,51659,682,0,1,1
B00188,33,M,single,secondary,salaried,Sudurpashchim,construction,50814,670,1,1,0
B00189,61,F,married,secondary,salaried,Lumbini,retail,17160,611,0,2,0
B00190,23,F,married,bachelor,salaried,Bagmati,wholesale,87081,655,0,2,0
B00191,59,F,single,bachelor,agriculture,Karnali,retail,26776,529,0,3,0
B00192,26,M,married,secondary,informal,Gandaki,education,66122,694,0,2,0
B00193,28,F,divorced,phd,informal,Madhesh,services,42386,714,0,2,0
B00194,47,F,single,bachelor,salaried,Madhesh,services,38902,625,0,2,1
B00195,29,M,married,master,informal,Madhesh,services,28234,632,0,0,0
B00196,57,M,married,secondary,salaried,Lumbini,health,73812,689,0,0,0
B00197,53,F,married,bachelor,salaried,Bagmati,education,32400,681,0,3,0
B00198,62,M,single,master,agriculture,Lumbini,agriculture,60619,718,0,4,0
B00199,64,F,single,bachelor,business_owner,Lumbini,wholesale,51765,632,0,2,0
B00200,44,M,single,bachelor,salaried,Karnali,retail,55220,639,1,2,0
B00201,35,M,single,secondary,self-employed,Koshi,health,90961,663,1,1,0
B00202,52,F,single,secondary,salaried,Bagmati,services,79352,616,0,2,1
B00203,52,M,married,secondary,business_owner,Madhesh,wholesale,155897,662,0,4,0
B00204,44,M,divorced,secondary,self-employed,Gandaki,services,45803,617,0,3,1
B00205,61,M,married,primary,informal,Madhesh,education,40373,698,0,1,1
B00206,69,F,married,primary,salaried,Lumbini,services,91859,624,0,1,1
B00207,69,M,single,phd,salaried,Bagmati,manufacturing,63835,689,1,1,0
B00208,32,M,married,secondary,self-employed,Sudurpashchim,construction,93828,755,0,1,0
B00209,59,F,married,bachelor,self-employed,Bagmati,services,89873,699,0,1,1
B00210,22,M,single,master,salaried,Bagmati,wholesale,96024,685,0,2,1
B00211,23,F,married,bachelor,business_owner,Koshi,health,99034,600,1,0,1
B00212,69,M,married,secondary,agriculture,Madhesh,health,24980,751,1,2,0
B00213,57,F,married,bachelor,informal,Koshi,education,30481,736,0,2,1
B00214,69,M,married,bachelor,agriculture,Sudurpashchim,agriculture,53399,666,0,3,1
B00215,37,F,married,bachelor,agriculture,Sudurpashchim,wholesale,21748,654,0,3,1
B00216,69,M,married,master,self-employed,Karnali,education,68667,630,0,2,1
B00217,22,M,married,phd,agriculture,Gandaki,wholesale,51357,773,0,2,0
B00218,22,M,divorced,bachelor,salaried,Karnali,construction,54668,718,0,1,0
B00219,48,M,divorced,secondary,salaried,Lumbini,education,76537,633,0,4,1
B00220,43,M,married,bachelor,salaried,Koshi,manufacturing,84488,735,0,0,1
B00221,57,M,married,primary,self-employed,Koshi,construction,98647,749,0,3,1
B00222,52,F,married,master,salaried,Karnali,construction,39049,674,0,1,1
B00223,53,M,divorced,primary,informal,Lumbini,retail,46187,656,0,0,0
B00224,21,M,married,secondary,salaried,Bagmati,agriculture,73148,620,0,1,1
B00225,39,F,single,master,salaried,Lumbini,retail,62381,714,0,2,0
B00226,22,F,married,bachelor,self-employed,Madhesh,services,94399,652,0,1,1
B00227,64,M,married,secondary,salaried,Karnali,retail,75548,649,1,2,1
B00228,46,M,married,bachelor,salaried,Lumbini,services,68182,674,0,3,0
B00229,52,M,single,master,salaried,Bagmati,construction,49914,630,0,1,0
B00230,26,F,married,secondary,self-employed,Lumbini,health,84201,759,0,2,0
B00231,52,F,married,master,self-employed,Koshi,wholesale,141007,728,0,1,0
B00232,24,M,married,primary,agriculture,Gandaki,manufacturing,42938,679,0,2,1
B00233,31,F,married,master,business_owner,Koshi,services,167128,628,0,2,0
B00234,37,F,married,master,self-employed,Sudurpashchim,health,86165,631,0,1,0
B00235,58,F,married,secondary,salaried,Gandaki,services,53985,629,1,4,0
B00236,44,F,married,secondary,salaried,Sudurpashchim,agriculture,64068,607,0,2,1
B00237,25,M,single,secondary,agriculture,Lumbini,health,49696,693,0,3,0
B00238,54,M,married,bachelor,salaried,Madhesh,services,83104,640,0,2,0
B00239,26,M,single,bachelor,salaried,Lumbini,education,117600,637,0,3,1
B00240,42,M,married,bachelor,agriculture,Bagmati,education,50983,630,0,0,0
B00241,31,M,single,secondary,self-employed,Lumbini,health,48074,730,0,1,0
B00242,68,F,single,secondary,salaried,Gandaki,wholesale,36908,633,0,1,1
B00243,36,M,single,primary,salaried,Koshi,services,61564,745,0,3,0
B00244,53,M,single,secondary,informal,Madhesh,education,28078,659,0,0,1
B00245,29,M,married,bachelor,agriculture,Sudurpashchim,services,60042,607,0,4,1
B00246,26,F,married,master,business_owner,Lumbini,manufacturing,145436,701,1,0,1
B00247,36,M,married,bachelor,self-employed,Lumbini,retail,80620,724,0,0,0
B00248,49,M,single,secondary,self-employed,Koshi,retail,104721,628,0,0,1
B00249,23,M,single,master,informal,Madhesh,services,45971,678,0,2,1
B00250,40,M,single,bachelor,informal,Karnali,manufacturing,73013,693,1,3,0
B00251,56,O,single,master,salaried,Sudurpashchim,services,82522,680,0,1,0
B00252,39,F,divorced,bachelor,agriculture,Lumbini,manufacturing,66121,650,1,2,1
B00253,46,M,single,secondary,salaried,Lumbini,services,41037,723,1,0,1
B00254,23,F,married,primary,salaried,Karnali,agriculture,46575,661,0,2,1
B00255,39,F,single,bachelor,business_owner,Sudurpashchim,agriculture,141547,642,0,0,1
B00256,40,F,single,secondary,self-employed,Gandaki,services,38523,578,0,1,1
B00257,52,M,married,secondary,informal,Gandaki,services,35632,578,0,2,0
B00258,27,M,married,bachelor,salaried,Bagmati,retail,93588,687,0,2,1
B00259,61,M,single,bachelor,self-employed,Koshi,services,65624,671,0,0,1
B00260,53,F,single,bachelor,informal,Madhesh,manufacturing,26854,724,0,0,1
B00261,60,M,married,secondary,informal,Lumbini,services,55013,737,0,2,0
B00262,59,M,single,secondary,salaried,Sudurpashchim,services,111470,662,0,3,0
B00263,38,M,single,bachelor,salaried,Lumbini,construction,53827,727,0,3,0
B00264,60,F,divorced,phd,self-employed,Bagmati,retail,121720,644,0,3,1
B00265,21,M,married,bachelor,salaried,Sudurpashchim,education,51336,667,0,4,1
B00266,31,F,married,master,informal,Sudurpashchim,retail,43312,665,0,1,0
B00267,48,F,married,master,informal,Lumbini,health,43963,762,0,1,0
B00268,45,M,married,bachelor,salaried,Koshi,services,54360,605,0,0,1
B00269,70,F,married,secondary,salaried,Bagmati,services,87507,678,0,1,1
B00270,43,M,married,bachelor,salaried,Koshi,wholesale,39205,637,0,2,0
B00271,51,F,married,bachelor,informal,Bagmati,retail,47925,659,0,3,0
B00272,50,M,single,bachelor,salaried,Lumbini,wholesale,91483,656,0,1,0
B00273,62,F,married,bachelor,self-employed,Bagmati,retail,108764,679,0,1,0
B00274,55,F,married,bachelor,self-employed,Gandaki,agriculture,99736,749,0,2,1
B00275,27,F,married,secondary,self-employed,Sudurpashchim,wholesale,132558,780,0,2,0
B00276,36,F,married,bachelor,salaried,Madhesh,construction,65607,711,0,1,1
B00277,46,M,married,secondary,salaried,Lumbini,retail,39505,621,0,3,1
B00278,68,F,single,master,informal,Karnali,education,47028,665,0,0,0
B00279,69,F,married,secondary,informal,Madhesh,manufacturing,43113,689,0,3,0
B00280,22,F,single,primary,agriculture,Lumbini,retail,15000,653,0,4,1
B00281,21,M,married,secondary,salaried,Madhesh,services,47497,660,0,1,1
B00282,68,F,single,bachelor,salaried,Gandaki,retail,44947,671,0,1,1
B00283,32,F,married,secondary,business_owner,Madhesh,retail,83346,717,1,2,1
B00284,25,F,single,secondary,salaried,Bagmati,services,62976,704,0,1,1
B00285,57,M,married,bachelor,informal,Madhesh,agriculture,40306,641,0,0,0
B00286,52,F,divorced,secondary,business_owner,Lumbini,education,84953,708,0,3,0
B00287,29,M,single,master,salaried,Karnali,services,44921,770,0,1,0
B00288,61,F,married,master,informal,Karnali,health,50661,592,0,0,0
B00289,55,M,married,bachelor,informal,Koshi,health,46748,651,1,2,0
B00290,39,F,single,secondary,salaried,Sudurpashchim,education,72933,647,0,0,1
B00291,68,O,married,bachelor,self-employed,Madhesh,services,138370,679,0,0,1
B00292,36,M,single,primary,salaried,Karnali,retail,73257,575,0,2,0
B00293,23,F,married,bachelor,salaried,Madhesh,retail,62666,750,0,1,0
B00294,40,M,married,secondary,salaried,Sudurpashchim,agriculture,67883,678,0,2,0
B00295,44,F,married,master,self-employed,Karnali,services,87964,691,0,4,1
B00296,53,F,married,primary,informal,Sudurpashchim,retail,54236,685,0,3,0
B00297,44,F,single,bachelor,self-employed,Madhesh,services,83658,647,0,0,1
B00298,31,F,single,bachelor,salaried,Lumbini,retail,31141,713,0,0,1
B00299,69,F,married,bachelor,business_owner,Madhesh,construction,100346,675,0,2,0
B00300,28,M,married,primary,salaried,Sudurpashchim,retail,70029,560,0,2,1
B00301,56,M,married,phd,agriculture,Lumbini,agriculture,73475,669,0,3,0
B00302,58,F,married,bachelor,self-employed,Lumbini,construction,61423,660,1,2,1
B00303,60,F,married,bachelor,salaried,Koshi,retail,37294,713,0,1,0
B00304,40,F,married,secondary,salaried,Karnali,services,71287,824,0,1,0
B00305,55,F,married,bachelor,agriculture,Bagmati,construction,65592,696,1,3,1
B00306,68,M,married,secondary,salaried,Lumbini,wholesale,62131,792,0,3,1
B00307,45,F,married,primary,agriculture,Sudurpashchim,retail,92894,637,0,1,0
B00308,55,M,single,primary,salaried,Karnali,services,112949,641,0,2,0
B00309,45,M,married,master,salaried,Gandaki,manufacturing,68550,661,0,0,0
B00310,49,M,divorced,secondary,self-employed,Madhesh,manufacturing,90601,698,1,1,1
B00311,38,M,married,secondary,informal,Sudurpashchim,retail,65530,640,0,0,0
B00312,66,M,single,bachelor,informal,Gandaki,services,43652,586,0,4,1
B00313,38,M,married,master,salaried,Sudurpashchim,wholesale,53918,676,0,2,0
B00314,22,F,married,primary,salaried,Madhesh,education,87778,612,0,3,0
B00315,55,M,divorced,bachelor,salaried,Koshi,wholesale,79288,736,1,4,1
B00316,36,M,single,primary,self-employed,Sudurpashchim,construction,60779,710,0,0,1
B00317,61,M,single,primary,self-employed,Lumbini,services,93374,633,0,2,1
B00318,56,M,married,primary,informal,Bagmati,construction,42599,700,0,3,1
B00319,53,M,married,master,informal,Lumbini,services,39223,645,1,2,0
B00320,24,M,married,primary,salaried,Madhesh,agriculture,54283,672,0,2,1
B00321,53,F,widowed,primary,self-employed,Sudurpashchim,services,88642,673,0,1,0
B00322,34,F,single,secondary,informal,Bagmati,construction,41012,657,0,2,0
B00323,41,F,married,master,agriculture,Lumbini,services,55124,721,0,1,0
B00324,68,M,single,secondary,salaried,Bagmati,services,86396,613,0,1,1
B00325,40,M,married,secondary,salaried,Madhesh,services,74631,705,0,0,0
B00326,28,F,married,primary,self-employed,Koshi,construction,92460,692,1,0,0
B00327,27,M,married,secondary,salaried,Koshi,agriculture,59176,598,0,0,0
B00328,23,M,widowed,bachelor,salaried,Sudurpashchim,services,93487,631,0,0,0
B00329,37,M,married,bachelor,salaried,Lumbini,agriculture,53029,615,0,1,0
B00330,53,M,married,secondary,business_owner,Gandaki,agriculture,47460,655,0,0,0
B00331,68,M,single,secondary,salaried,Madhesh,health,48580,678,1,0,0
B00332,32,M,married,primary,salaried,Lumbini,education,90685,624,0,2,0
B00333,42,F,married,secondary,salaried,Lumbini,agriculture,79177,728,0,2,0
B00334,42,M,single,primary,agriculture,Koshi,services,73614,733,0,2,1
B00335,66,F,married,master,agriculture,Sudurpashchim,construction,26185,743,1,3,1
B00336,50,F,married,phd,self-employed,Bagmati,manufacturing,154606,526,1,0,1
B00337,58,F,married,phd,self-employed,Madhesh,health,76489,782,0,0,1
B00338,58,F,married,master,informal,Bagmati,wholesale,18594,684,0,1,0
B00339,65,F,married,bachelor,salaried,Karnali,retail,113915,678,0,3,0
B00340,28,M,single,bachelor,salaried,Karnali,retail,43797,669,0,2,1
B00341,47,M,single,secondary,salaried,Madhesh,agriculture,62042,602,0,1,1
B00342,47,M,married,bachelor,salaried,Sudurpashchim,health,65884,695,1,0,1
B00343,54,F,married,secondary,salaried,Gandaki,retail,78881,764,0,2,1
B00344,41,F,single,bachelor,informal,Karnali,construction,33130,683,0,1,0
B00345,50,M,married,bachelor,self-employed,Koshi,agriculture,116179,614,0,2,1
B00346,53,F,married,secondary,self-employed,Gandaki,construction,107609,591,0,4,1
B00347,48,M,married,secondary,informal,Lumbini,services,45286,659,0,2,0
B00348,67,F,single,master,salaried,Karnali,construction,96486,634,0,3,1
B00349,53,M,married,primary,salaried,Koshi,retail,68642,714,0,1,0
B00350,25,M,married,bachelor,self-employed,Lumbini,construction,76730,750,0,2,1
B00351,68,M,married,master,self-employed,Gandaki,wholesale,144943,701,0,3,0
B00352,39,M,married,bachelor,salaried,Madhesh,services,75914,670,0,2,0
B00353,24,M,married,bachelor,self-employed,Lumbini,construction,55430,668,0,2,1
B00354,55,M,married,secondary,business_owner,Bagmati,wholesale,81737,679,0,2,0
B00355,69,F,single,secondary,business_owner,Madhesh,retail,120853,611,0,3,1
B00356,37,M,married,master,business_owner,Madhesh,agriculture,15000,708,0,0,1
B00357,64,M,married,bachelor,salaried,Gandaki,manufacturing,57340,616,0,1,0
B00358,48,F,married,bachelor,salaried,Gandaki,services,67992,736,0,1,0
